,0,1,2,3,4,5,6,7
97,111,상수역 2번출구 앞,운영중,10,0,서울특별시 마포구 와우산로 40 309-10,37.54787064,126.92353058
98,1110,공항중학교앞,운영중,10,4,서울특별시 강서구 방화대로 241 공항중학교 앞,37.56268311,126.81623840
99,1111,마곡엠밸리6_7단지 마곡중학교,운영중,15,0,서울특별시 강서구 마곡중앙5로 58 강서구 마곡동 743-3,37.56698227,126.82180023
100,1112,마곡엠밸리4단지 정문,운영중,15,4,서울특별시 강서구 마곡서로 175 강서구 마곡동 754-6,37.56857681,126.82477570
101,1113,서남환경공원 버스정류장,운영중,15,5,서울특별시 강서구 양천로 201 강서구 마곡동 222-30,37.57309341,126.82289886
102,1115,등촌역 1번출구옆,운영중,10,6,서울특별시 강서구 공항대로59길 8 강서구 등촌동 666-90,37.55166626,126.86408997
103,1117,스타벅스앞,운영중,10,2,서울특별시 강서구 공항대로 329 강서구 등촌동 675-7,37.55819702,126.84426117
104,1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),운영중,10,1,서울특별시 강서구 양천로 지하 560 강서구 등촌동 666-40,37.55746078,126.86145782
105,1119,염창동 한마음아파트앞(염창동 빛나는 음악학원앞),운영중,6,2,서울특별시 강서구 양천로 637 강서구 염창동 284-18,37.55425262,126.86756134
106,112,극동방송국 앞,운영중,10,0,서울특별시 마포구 와우산로 56 89-2,37.54920197,126.92320251
107,1120,대림경동아파트앞,운영중,25,0,서울특별시 강서구 허준로 139 강변아파트,37.56478500,126.85464478
108,1121,가양레포츠센터앞,운영중,15,9,서울특별시 강서구 양천로61길 101 강서구 가양동 1484-5,37.55947876,126.86437988
109,1122,황금내근린공원,운영중,10,0,서울특별시 강서구 허준로 221-40 강서구 가양동 1485-5,37.56193161,126.86386871
110,1124,발산역 6번출구옆(다이소앞),운영중,10,2,서울특별시 강서구 공항대로 280 강서구 내발산동 645-1,37.55796814,126.83828735
111,1125,명덕고교입구(영종빌딩),운영중,10,1,서울특별시 강서구 강서로 304 강서구 내발산동 724-42,37.55291367,126.83657074
